# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
0 4.2097e-29
100 0.351714
200 0.474842
300 0.626174
400 0.748724
500 0.684196
600 0.825816
700 0.920002
800 1.0089
900 1.0378
1000 1.30493
1100 1.59989
1200 1.68012
1300 1.67135
1400 1.67608
1500 1.65488
1600 1.7212
1700 1.83273
1800 1.87878
1900 1.92431
2000 1.98521
2100 2.12762
2200 1.99039
2300 2.08749
2400 2.04997
2500 2.2154
2600 2.20064
2700 2.25977
2800 2.26981
2900 2.27599
3000 2.40229
3100 2.67951
3200 2.80568
3300 3.0387
3400 3.31043
3500 3.96618
3600 4.02113
3700 3.84567
3800 4.01954
3900 4.00702
4000 4.0232
4100 3.94799
4200 4.36375
4300 4.39345
4400 4.65949
4500 4.64904
4600 4.63926
4700 4.69113
4800 4.89048
4900 4.8148
5000 5.04364
5100 5.19656
5200 5.22241
5300 5.31397
5400 5.36092
5500 5.24396
5600 5.19631
5700 5.41162
5800 5.70252
5900 5.45725
6000 5.66564
6100 5.91167
6200 6.16494
6300 6.02687
6400 6.07574
6500 6.10367
6600 6.23295
6700 6.33639
6800 6.27545
6900 6.34128
7000 6.39608
7100 6.63
7200 6.83491
7300 7.02957
7400 7.28722
7500 7.42732
7600 7.14254
7700 7.42973
7800 7.46112
7900 7.45544
8000 7.61639
8100 7.51891
8200 7.55096
8300 7.46374
8400 7.96764
8500 7.82223
8600 7.72453
8700 7.7906
8800 7.85147
8900 7.77303
9000 8.00528
9100 8.47757
9200 8.49013
9300 8.496
9400 8.25021
9500 8.52182
9600 8.74409
9700 8.8479
9800 8.80616
9900 9.15372
10000 9.19203
10100 9.29654
10200 9.23033
10300 9.21686
10400 9.03647
10500 9.39529
10600 9.08788
10700 9.37131
10800 9.12233
10900 9.49323
11000 9.47487
11100 9.78417
11200 9.47082
11300 10.0737
11400 9.95245
11500 10.1123
11600 10.2835
11700 10.3079
11800 10.0762
11900 10.1826
12000 10.2032
12100 10.2843
12200 9.95656
12300 10.6417
12400 10.316
12500 10.4985
12600 10.4741
12700 10.4486
12800 11.0592
12900 10.7279
13000 10.8304
13100 10.9194
13200 10.703
13300 11.0689
13400 11.1542
13500 11.3185
13600 11.6537
13700 12.2819
13800 11.8629
13900 11.9529
14000 12.2445
14100 12.799
14200 12.4504
14300 12.8523
14400 12.8782
14500 13.1485
14600 13.1072
14700 13.6504
14800 13.4539
14900 13.3369
15000 13.3313
15100 13.6761
15200 14.254
15300 14.3386
15400 14.5385
15500 14.686
15600 14.5256
15700 14.4833
15800 14.4273
15900 14.787
16000 14.3364
16100 14.7284
16200 14.7726
16300 14.9629
16400 14.9791
16500 15.2484
16600 15.3144
16700 15.2086
16800 15.4753
16900 15.3913
17000 15.8144
17100 15.7354
17200 15.8538
17300 15.6917
17400 15.2667
17500 15.5988
17600 15.8218
17700 15.4324
17800 15.7224
17900 15.7959
18000 16.3859
18100 16.4593
18200 16.0812
18300 16.7001
18400 16.7716
18500 16.7034
18600 16.8309
18700 17.2825
18800 17.0297
18900 17.2814
19000 16.7402
19100 16.7113
19200 17.3927
19300 17.3052
19400 17.2022
19500 17.4266
19600 18.0773
19700 17.9578
19800 17.7669
19900 18.3091
20000 18.1166
20100 18.6042
20200 19.1814
20300 19.3235
20400 19.2569
20500 19.4367
20600 18.9919
20700 19.2691
20800 19.2606
20900 19.4512
21000 19.868
21100 20.4254
21200 20.6166
21300 20.5126
21400 20.454
21500 20.3405
21600 19.9869
21700 20.2452
21800 20.2716
21900 20.0623
22000 19.9387
22100 20.1409
22200 20.2458
22300 20.0511
22400 20.1852
22500 20.7322
22600 20.3957
22700 20.6929
22800 20.7282
22900 19.9423
23000 20.6232
23100 21.3743
23200 21.0752
23300 21.4028
23400 21.4497
23500 21.5815
23600 21.3467
23700 21.4299
23800 21.6352
23900 21.5233
24000 21.6192
24100 22.7088
24200 21.839
24300 21.6657
24400 21.8199
24500 22.4266
24600 22.7139
24700 22.7527
24800 22.593
24900 22.6076
25000 22.6129
25100 22.7084
25200 22.9069
25300 23.1179
25400 23.0539
25500 22.9026
25600 23.0814
25700 22.9828
25800 23.0941
25900 23.5599
26000 23.6959
26100 23.8231
26200 23.4382
26300 24.2919
26400 24.0077
26500 24.4007
26600 24.1682
26700 24.3834
26800 24.3278
26900 24.8706
27000 25.5101
27100 25.5757
27200 25.0012
27300 25.6355
27400 25.8247
27500 25.9847
27600 26.7314
27700 26.8064
27800 26.3725
27900 26.4234
28000 26.1331
28100 26.4138
28200 26.585
28300 26.5807
28400 26.6024
28500 26.749
28600 26.7416
28700 26.5938
28800 26.0346
28900 26.09
29000 26.2943
29100 26.1752
29200 26.4985
29300 25.8805
29400 26.0364
29500 26.2145
29600 26.481
29700 26.8738
29800 26.1959
29900 26.4529
30000 25.9821
30100 26.3542
30200 26.5413
30300 26.3996
30400 26.4871
30500 26.4658
30600 26.5069
30700 26.5267
30800 26.3458
30900 26.689
31000 26.7998
31100 26.512
31200 26.4488
31300 27.0026
31400 26.3127
31500 26.5573
31600 26.9853
31700 27.2846
31800 27.3217
31900 27.6438
32000 27.7208
32100 27.5609
32200 27.939
32300 27.8
32400 28.1585
32500 28.2598
32600 28.618
32700 27.9337
32800 28.3128
32900 28.0287
33000 27.9016
33100 27.8486
33200 29.1256
33300 30.0211
33400 29.4071
33500 30.3018
33600 29.9692
33700 30.1117
33800 29.9502
33900 30.0682
34000 30.171
34100 30.0788
34200 30.0606
34300 30.2856
34400 30.2609
34500 30.4751
34600 30.3654
34700 31.3041
34800 30.9796
34900 30.6582
35000 31.1941
35100 30.4131
35200 31.2474
35300 31.3215
35400 31.4967
35500 31.1662
35600 30.911
35700 30.7236
35800 30.6574
35900 30.5978
36000 30.7861
36100 30.8995
36200 30.884
36300 31.0889
36400 31.2734
36500 31.4928
36600 31.1848
36700 31.3725
36800 31.0739
36900 31.385
37000 31.4906
37100 31.25
37200 31.1683
37300 31.2466
37400 31.252
37500 30.4585
37600 31.1528
37700 30.6899
37800 31.3715
37900 31.6951
38000 32.3018
38100 31.9268
38200 31.7672
38300 31.0747
38400 32.2184
38500 31.376
38600 31.6245
38700 31.6792
38800 31.4845
38900 31.7093
39000 32.017
39100 31.332
39200 31.5233
39300 31.9457
39400 32.4454
39500 32.7556
39600 33.0623
39700 32.9071
39800 32.7964
39900 33.2481
40000 34.0381
40100 34.1349
40200 34.0084
40300 33.8853
40400 34.2866
40500 34.2002
40600 34.6014
40700 34.3513
40800 34.7259
40900 34.1468
41000 33.5144
41100 33.9169
41200 34.8972
41300 35.1776
41400 35.2945
41500 36.8953
41600 36.9729
41700 36.7133
41800 36.6065
41900 37.6912
42000 38.0169
42100 38.2245
42200 38.2422
42300 37.9731
42400 38.4134
42500 37.8286
42600 38.2976
42700 38.2701
42800 38.1571
42900 38.8241
43000 38.6381
43100 38.627
43200 38.5596
43300 39.1627
43400 39.2384
43500 39.3537
43600 39.5583
43700 38.9857
43800 39.1994
43900 39.3808
44000 39.5399
44100 39.5886
44200 39.6142
44300 39.2616
44400 40.2639
44500 39.9225
44600 40.2205
44700 40.2232
44800 41.0123
44900 40.7002
45000 41.2815
45100 41.3913
45200 41.327
45300 41.7408
45400 41.2878
45500 41.5311
45600 41.4288
45700 41.4457
45800 41.3966
45900 41.2466
46000 41.5848
46100 40.9707
46200 41.4839
46300 41.7395
46400 42.1792
46500 42.3193
46600 42.0345
46700 42.138
46800 41.8794
