# Time-averaged data for fix msdout
# TimeStep c_Hmsd[4]
0 2.23532e-29
100 0.421628
200 0.621357
300 0.877006
400 1.50647
500 1.78055
600 1.84376
700 2.00734
800 2.24564
900 2.41059
1000 2.73374
1100 3.0139
1200 3.4024
1300 3.34908
1400 3.18834
1500 3.37216
1600 3.63666
1700 3.94817
1800 4.11645
1900 4.53879
2000 4.80835
2100 4.95076
2200 5.36734
2300 5.37421
2400 6.21986
2500 6.30248
2600 6.32365
2700 6.57117
2800 6.98849
2900 8.00661
3000 8.18804
3100 8.72597
3200 8.93854
3300 9.39868
3400 9.05093
3500 9.17233
3600 9.58723
3700 10.0104
3800 10.316
3900 10.2631
4000 11.3314
4100 11.1256
4200 11.421
4300 11.9513
4400 12.1733
4500 12.6912
4600 13.5
4700 13.5666
4800 13.5876
4900 14.3482
5000 13.9857
5100 14.263
5200 14.6536
5300 14.1894
5400 14.3782
5500 14.2103
5600 14.8449
5700 15.1859
5800 15.1709
5900 15.398
6000 15.3886
6100 15.3806
6200 16.1607
6300 16.533
6400 16.8067
6500 17.7211
6600 18.0321
6700 17.9007
6800 17.7631
6900 17.7794
7000 17.5898
7100 17.2424
7200 17.75
7300 17.9541
7400 18.2392
7500 18.1802
7600 18.0429
7700 18.0945
7800 18.5846
7900 18.7801
8000 19.0518
8100 19.2809
8200 19.1291
8300 20.0101
8400 19.9774
8500 20.4571
8600 20.6132
8700 20.7045
8800 20.3002
8900 20.3297
9000 20.6906
9100 20.9334
9200 21.3619
9300 20.7896
9400 21.1
9500 21.5876
9600 22.3867
9700 22.1878
9800 23.122
9900 23.2184
10000 23.8059
10100 23.8474
10200 24.5153
10300 25.2219
10400 25.0447
10500 25.379
10600 25.9721
10700 26.6556
10800 26.3556
10900 27.3068
11000 26.7871
11100 26.208
11200 26.3252
11300 27.0398
11400 27.2291
11500 27.7884
11600 27.9628
11700 28.1117
11800 27.9358
11900 27.9868
12000 28.5309
12100 28.2821
12200 28.0312
12300 27.4498
12400 27.2659
12500 27.426
12600 27.8583
12700 28.4742
12800 28.7602
12900 29.5082
13000 29.9668
13100 28.9898
13200 28.9606
13300 29.4757
13400 29.4258
13500 28.8076
13600 29.4852
13700 30.0566
13800 29.9498
13900 30.5574
14000 30.2308
14100 30.2937
14200 30.6819
14300 30.71
14400 31.522
14500 30.712
14600 30.604
14700 31.0465
14800 31.6711
14900 31.5034
15000 32.0593
15100 31.5143
15200 30.9814
15300 31.5211
15400 33.1323
15500 33.3191
15600 33.1208
15700 33.1281
15800 32.1861
15900 32.7745
16000 32.8036
16100 33.2989
16200 33.6888
16300 34.7927
16400 34.9125
16500 34.9209
16600 34.9211
16700 36.0583
16800 36.0329
16900 36.4945
17000 36.4978
17100 36.0306
17200 36.2483
17300 36.5436
17400 36.8369
17500 36.7962
17600 37.9582
17700 38.7334
17800 39.1243
17900 39.2551
18000 38.6963
18100 39.2188
18200 39.1841
18300 39.7098
18400 40.2386
18500 39.5073
18600 39.1974
18700 39.4578
18800 39.2544
18900 39.941
19000 40.3692
19100 41.0317
19200 41.8551
19300 41.4438
19400 43.3346
19500 43.0768
19600 42.9012
19700 42.6511
19800 43.4698
19900 43.5397
20000 43.6791
20100 44.1048
20200 44.2413
20300 44.233
20400 44.6682
20500 45.0664
20600 45.4893
20700 45.4538
20800 45.3159
20900 44.77
21000 45.1385
21100 45.1813
21200 44.7827
21300 45.1073
21400 44.729
21500 44.5895
21600 44.744
21700 45.939
21800 47.2306
21900 47.08
22000 46.2543
22100 46.5954
22200 47.7166
22300 47.2099
22400 47.5408
22500 47.5264
22600 47.7656
22700 48.3646
22800 48.0857
22900 47.5981
23000 47.7535
23100 48.1092
23200 48.2076
23300 48.5567
23400 48.6493
23500 49.4874
23600 48.8561
23700 49.4351
23800 49.3447
23900 50.1257
24000 49.6897
24100 50.5864
24200 50.1583
24300 49.4518
24400 50.5336
24500 50.1922
24600 49.1749
24700 49.6058
24800 49.0439
24900 50.3537
25000 50.2287
25100 48.634
25200 48.1707
25300 48.754
25400 49.5606
25500 50.2383
25600 49.5159
25700 49.5061
25800 50.2521
25900 51.2953
26000 51.907
26100 51.761
26200 51.9679
26300 52.42
26400 52.3965
26500 52.6034
26600 53.554
26700 53.8847
26800 53.7101
26900 53.3285
27000 53.2915
27100 53.4305
27200 53.3184
27300 54.7609
27400 54.941
27500 54.9556
27600 55.4327
27700 54.9236
27800 55.6592
27900 56.1521
28000 55.9276
28100 55.7292
28200 56.3278
28300 55.7766
28400 56.5562
28500 56.0666
28600 56.7448
28700 56.7919
28800 57.3298
28900 57.6498
29000 57.2714
29100 57.905
29200 57.6275
29300 57.4443
29400 57.6265
29500 58.7339
29600 59.2715
29700 59.3244
29800 58.9738
29900 60.1237
30000 61.6435
30100 61.6986
30200 62.7074
30300 63.5047
30400 63.3201
30500 63.4068
30600 63.3248
30700 63.1581
30800 63.3024
30900 63.9815
31000 64.8899
31100 64.4751
31200 65.2025
31300 64.3387
31400 64.0561
31500 64.4823
31600 64.9028
31700 65.276
31800 65.1654
31900 65.3842
32000 64.2911
32100 65.2819
32200 65.8802
32300 65.0017
32400 65.2525
32500 65.2185
32600 64.5521
32700 65.5072
32800 65.4407
32900 65.0209
33000 65.327
33100 65.6968
33200 65.5712
33300 65.7888
33400 66.1987
33500 65.4654
33600 65.9542
33700 66.5766
33800 66.8715
33900 67.0396
34000 67.8067
34100 68.3025
34200 68.7256
34300 68.8536
34400 69.3885
34500 69.2031
34600 69.4921
34700 69.6283
34800 69.7787
34900 69.3141
35000 69.9343
35100 70.1083
35200 70.8199
35300 71.0387
35400 71.0267
35500 70.9254
35600 71.4099
35700 72.2774
35800 71.7599
35900 72.3871
36000 72.6444
36100 73.8401
36200 73.3133
36300 73.1865
36400 73.3128
36500 73.7982
36600 74.4691
36700 75.2942
36800 73.3357
36900 73.2913
37000 73.2099
37100 74.675
37200 75.1326
37300 74.5422
37400 74.6063
37500 74.4615
37600 74.9167
37700 75.1131
37800 74.0786
37900 73.8605
38000 74.1519
38100 74.325
38200 74.1483
38300 74.8539
38400 75.9186
38500 76.9129
38600 77.2427
38700 77.4938
38800 78.881
38900 78.2391
39000 79.2767
39100 79.1014
39200 79.1802
39300 79.6773
39400 80.6431
39500 80.2773
39600 80.4981
39700 80.1639
39800 79.4534
39900 80.0809
40000 80.6769
40100 80.7861
40200 81.5302
40300 82.5402
40400 82.3863
40500 80.9321
40600 80.9053
40700 81.3287
40800 81.4844
40900 82.0094
41000 82.2158
41100 81.6828
41200 81.7394
41300 81.4897
41400 82.064
41500 81.7925
41600 82.1244
41700 81.6553
41800 82.1675
41900 83.8188
42000 83.4851
42100 83.3681
42200 83.8242
42300 82.9689
42400 83.8038
42500 84.0931
42600 83.9784
42700 82.978
42800 84.1182
42900 83.7399
43000 84.0834
43100 83.4976
43200 83.7944
43300 83.2788
43400 83.8456
43500 84.5626
43600 84.9262
43700 85.3362
43800 85.8442
43900 85.513
44000 85.5113
44100 85.2039
44200 84.983
44300 85.0357
44400 85.7718
44500 84.8287
44600 84.5303
44700 84.6919
44800 84.838
44900 85.7487
45000 84.5619
45100 85.5886
45200 85.7414
45300 86.1457
45400 85.6283
45500 85.6272
45600 85.2378
45700 85.7453
45800 87.0439
45900 87.7323
46000 89.1124
46100 89.5444
46200 90.0139
46300 91.4533
46400 91.4119
46500 91.7447
46600 90.3172
46700 92.0459
46800 93.129
46900 92.9319
47000 93.7899
47100 94.2225
47200 94.7436
47300 96.5193
47400 97.2138
47500 96.7969
47600 95.9996
47700 96.7813
47800 96.5219
47900 97.6577
48000 96.7246
48100 96.4008
48200 96.6892
48300 97.9146
48400 96.8673
48500 95.8048
48600 96.2678
48700 96.9785
48800 97.4176
48900 96.4356
49000 96.9544
49100 98.6505
49200 99.3957
49300 101.116
49400 101.091
49500 101.12
49600 102.17
49700 102.823
49800 102.451
49900 102.233
50000 102.611
